queueRank,status,submitted,company,role,fitTier,companyType,jobDomain,domainResume,location,applicationUrl,folder,resumePath,trackerNote
184,ready,,Lance (YC W26),Solutions Engineer,medium,Startup / venture-backed company,Product / TPM / solutions,product,San Francisco,https://jobright.ai/jobs/info/6a0cfac7963f7a67d95dd78b?utm_campaign=Software%20Engineering&utm_source=1103,ng_applications/0184__Lance_YC_W26__Solutions_Engineer,ng_applications/0184__Lance_YC_W26__Solutions_Engineer/Yuanbo_Pang_Resume.pdf,previously verified live link
185,not_fit,,Landis+Gyr,Technical Implementation Engineer,medium,Startup / small-to-mid company,Product / TPM / solutions,product,"Saint-Hubert, Quebec, CA",https://jobright.ai/jobs/info/6a07e3338f3e371eb617b514?utm_campaign=Software%20Engineering&utm_source=1103,ng_applications/0185__LandisGyr__Technical_Implementation_Engineer,ng_applications/0185__LandisGyr__Technical_Implementation_Engineer/Yuanbo_Pang_Resume.pdf,"Not fit/rechecked 2026-06-07: location is Saint-Hubert, Quebec, Canada; current strategy is U.S. roles compatible with OPT/no employer sponsorship."
186,ready,,"Lexington Medical, Inc",Embedded Software Engineer,medium,Startup / small-to-mid company,Backend / full-stack software,backend,"Bedford, MA",https://jobright.ai/jobs/info/6a1e201e6b135014dbc9abe4?utm_campaign=Software%20Engineering&utm_source=1103,ng_applications/0186__Lexington_Medical_Inc__Embedded_Software_Engineer,ng_applications/0186__Lexington_Medical_Inc__Embedded_Software_Engineer/Yuanbo_Pang_Resume.pdf,previously verified live link
187,ready,,Lightspark,Software Engineer,medium,Startup / venture-backed company,Backend / full-stack software,backend,"Culver City, CA",https://jobright.ai/jobs/info/6a068c36f3d6cc51d639445e?utm_campaign=Software%20Engineering&utm_source=1103,ng_applications/0187__Lightspark__Software_Engineer,ng_applications/0187__Lightspark__Software_Engineer/Yuanbo_Pang_Resume.pdf,previously verified live link
188,ready,,Lila Sciences,Software Engineer 1 - Instrument Software,medium,Startup / venture-backed company,Backend / full-stack software,backend,"Cambridge, MA",https://job-boards.greenhouse.io/lilasciences/jobs/4186444009?utm_source=Simplify&ref=Simplify,ng_applications/0188__Lila_Sciences__Software_Engineer_1_-_Instrument_Software,ng_applications/0188__Lila_Sciences__Software_Engineer_1_-_Instrument_Software/Yuanbo_Pang_Resume.pdf,previously verified live link
189,not_fit,,Lila Sciences,"Software Engineer I, Instrument Software",medium,Startup / venture-backed company,Backend / full-stack software,backend,"Alewife, Cambridge, MA",https://jobright.ai/jobs/info/6a0701714a0a6a7e7d81fb99?utm_campaign=Software%20Engineering&utm_source=1103,ng_applications/0189__Lila_Sciences__Software_Engineer_I_Instrument_Software,ng_applications/0189__Lila_Sciences__Software_Engineer_I_Instrument_Software/Yuanbo_Pang_Resume.pdf,"Not fit/rechecked 2026-06-07: duplicate of rank 188; same Lila Sciences Software Engineer I, Instrument Software role. Keep official Greenhouse URL rank 188."
190,ready,,LinkSquares,Software Engineer,medium,Startup / small-to-mid company,Backend / full-stack software,backend,Remote US,https://linksquares.com/careers/open-positions/?gh_jid=4537585005&utm_source=vansh&ref=vansh,ng_applications/0190__LinkSquares__Software_Engineer,ng_applications/0190__LinkSquares__Software_Engineer/Yuanbo_Pang_Resume.pdf,previously verified live link
191,ready,,Liva AI,Founding Engineer,medium,Startup / venture-backed company,AI/ML / applied AI,ai_ml,"San Francisco, CA",https://www.workatastartup.com/jobs/83655?utm_source=vansh,ng_applications/0191__Liva_AI__Founding_Engineer,ng_applications/0191__Liva_AI__Founding_Engineer/Yuanbo_Pang_Resume.pdf,previously verified live link
192,ready,,Loombotic,Software Engineer,medium,Startup / venture-backed company,Backend / full-stack software,backend,"Austin, TX",https://jobright.ai/jobs/info/6a21b638338c01230511feb4?utm_campaign=Software%20Engineering&utm_source=1103,ng_applications/0192__Loombotic__Software_Engineer,ng_applications/0192__Loombotic__Software_Engineer/Yuanbo_Pang_Resume.pdf,previously verified live link
193,ready,,Luma,Research Scientist / Engineer - Data,medium,Startup / venture-backed company,Data / analytics / BI,data,Remote,https://jobs.ashbyhq.com/luma-ai/f41a9fc6-40b5-4063-b093-b50ffe919ad8?utm_source=vansh,ng_applications/0193__Luma__Research_Scientist_Engineer_-_Data,ng_applications/0193__Luma__Research_Scientist_Engineer_-_Data/Yuanbo_Pang_Resume.pdf,previously verified live link
194,ready,,Lumafield,Backend Engineer 🛂,medium,Startup / venture-backed company,Backend / full-stack software,backend,"San Francisco, CA",https://www.lumafield.com/careers/job?id=fb3e17b3-d7fe-47da-85c3-aecda001e2ed&utm_source=vansh&ref=vansh,ng_applications/0194__Lumafield__Backend_Engineer,ng_applications/0194__Lumafield__Backend_Engineer/Yuanbo_Pang_Resume.pdf,previously verified live link
195,not_fit,,Lumenalta,Full Stack Engineer,medium,Startup / small-to-mid company,Backend / full-stack software,backend,Remote,https://lumenalta.com/jobs/full-stack-engineer-storyblok-expert-full-stack-engineer-storyblok-expert-188?utm_source=vansh,ng_applications/0195__Lumenalta__Full_Stack_Engineer,ng_applications/0195__Lumenalta__Full_Stack_Engineer/Yuanbo_Pang_Resume.pdf,"Not fit/rechecked 2026-06-07: official posting is Full Stack Engineer - Storyblok Pro/Expert, requiring in-depth Storyblok expertise and leadership; not NG SWE target."
196,ready,,LVT,Junior Software Engineer,medium,Startup / small-to-mid company,Backend / full-stack software,backend,"American Fork, Utah, United States",https://job-boards.greenhouse.io/liveviewtechnologiesinc/jobs/5225887008,ng_applications/0196__LVT__Junior_Software_Engineer,ng_applications/0196__LVT__Junior_Software_Engineer/Yuanbo_Pang_Resume.pdf,previously verified live link
197,not_fit,,LVT,Software Engineer 1,medium,Startup / small-to-mid company,Backend / full-stack software,backend,"American Fork, UT",https://job-boards.greenhouse.io/liveviewtechnologiesinc/jobs/5225887008?utm_source=Simplify&ref=Simplify,ng_applications/0197__LVT__Software_Engineer_1,ng_applications/0197__LVT__Software_Engineer_1/Yuanbo_Pang_Resume.pdf,"Not fit/rechecked 2026-06-07: duplicate of rank 196; same official Greenhouse URL/job id 5225887008. Keep rank 196 for application, avoid duplicate submission."
198,ready,,Maitai,Full-Stack Engineer - Agent Marketplace (In-Person RWC Only),medium,Startup / venture-backed company,AI/ML / applied AI,ai_ml,"Redwood City, CA",https://www.workatastartup.com/jobs/82935?utm_source=vansh,ng_applications/0198__Maitai__Full-Stack_Engineer_-_Agent_Marketplace_In-Person_RWC_Only,ng_applications/0198__Maitai__Full-Stack_Engineer_-_Agent_Marketplace_In-Person_RWC_Only/Yuanbo_Pang_Resume.pdf,previously verified live link
199,ready,,McDonald's Corporation,"Software Engineer I, iOS",medium,Startup / small-to-mid company,Backend / full-stack software,backend,"Chicago, IL",https://jobs.mcdonalds.com/job/Chicago-Software-Engineer-I-iOS-IL-60607/1322170500/?utm_source=vansh,ng_applications/0199__McDonalds_Corporation__Software_Engineer_I_iOS,ng_applications/0199__McDonalds_Corporation__Software_Engineer_I_iOS/Yuanbo_Pang_Resume.pdf,previously verified live link
200,ready,,Mesh Optical Technologies,Software Integration & Test Engineer,medium,Startup / venture-backed company,QA / test / validation,qa,"Gardena, CA",https://jobright.ai/jobs/info/6a218718338c01230511e72c?utm_campaign=Software%20Engineering&utm_source=1103,ng_applications/0200__Mesh_Optical_Technologies__Software_Integration_Test_Engineer,ng_applications/0200__Mesh_Optical_Technologies__Software_Integration_Test_Engineer/Yuanbo_Pang_Resume.pdf,previously verified live link
201,ready,,Moog Inc.,Associate Software Engineer,medium,Startup / small-to-mid company,Backend / full-stack software,backend,"Santa Barbara, CA",https://jobright.ai/jobs/info/6a06413cf3d6cc51d6391781?utm_campaign=Software%20Engineering&utm_source=1103,ng_applications/0201__Moog_Inc.__Associate_Software_Engineer,ng_applications/0201__Moog_Inc.__Associate_Software_Engineer/Yuanbo_Pang_Resume.pdf,previously verified live link
202,not_fit,,N1,Software Engineer (Backend Rust),medium,Startup / venture-backed company,Backend / full-stack software,backend,New York City,https://jobs.ashbyhq.com/n1/99a78724-a7eb-4801-9e75-cf4465950567?utm_source=vansh,ng_applications/0202__N1__Software_Engineer_Backend_Rust,ng_applications/0202__N1__Software_Engineer_Backend_Rust/Yuanbo_Pang_Resume.pdf,"Role title is Software Engineer Backend Rust; user explicitly asked not to claim Rust, so screened out before applying."
203,needs_recheck,,N1,Software Engineer (Full Stack),medium,Startup / venture-backed company,Backend / full-stack software,backend,New York City,https://jobs.ashbyhq.com/n1/2213cef6-fbcd-42f7-8e0e-c6a23bfc1119?utm_source=vansh,ng_applications/0203__N1__Software_Engineer_Full_Stack,ng_applications/0203__N1__Software_Engineer_Full_Stack/Yuanbo_Pang_Resume.pdf,N1 Full Stack Ashby application opened and basic fields started; Chrome extension upload interaction timed out/reset before resume upload and final submit. Needs retry when Codex Chrome Extension connection is stable. Do not count as submitted.
204,not_fit,,Neuralink,Quality Systems Engineer,medium,Startup / venture-backed company,Infrastructure / platform / SRE / DevOps,infra,Austin,https://jobright.ai/jobs/info/6a07054124dcb03739f1e834?utm_campaign=Software%20Engineering&utm_source=1103,ng_applications/0204__Neuralink__Quality_Systems_Engineer,ng_applications/0204__Neuralink__Quality_Systems_Engineer/Yuanbo_Pang_Resume.pdf,Not fit/rechecked 2026-06-07: Quality Systems Engineer is quality/compliance systems rather than SWE/new-grad software engineering target.
205,ready,,Neuralink,"Software Engineer, BCI Applications",medium,Startup / venture-backed company,Backend / full-stack software,backend,"South San Francisco, California, United States",https://jobright.ai/jobs/info/6a22130c7c30cc2cc516d39d?utm_campaign=Software%20Engineering&utm_source=1103,ng_applications/0205__Neuralink__Software_Engineer_BCI_Applications,ng_applications/0205__Neuralink__Software_Engineer_BCI_Applications/Yuanbo_Pang_Resume.pdf,previously verified live link
206,ready,,Newton Research,Junior Software Engineer - Backend + AI,medium,Startup / venture-backed company,AI/ML / applied AI,ai_ml,Greater Boston Area,https://job-boards.greenhouse.io/newtonresearch/jobs/5202112008,ng_applications/0206__Newton_Research__Junior_Software_Engineer_-_Backend_AI,ng_applications/0206__Newton_Research__Junior_Software_Engineer_-_Backend_AI/Yuanbo_Pang_Resume.pdf,previously verified live link
207,ready,,NexHealth,Software Engineer,medium,Startup / venture-backed company,Backend / full-stack software,backend,Seattle,https://jobright.ai/jobs/info/6a22130ac00e701fe8372b1e?utm_campaign=Software%20Engineering&utm_source=1103,ng_applications/0207__NexHealth__Software_Engineer,ng_applications/0207__NexHealth__Software_Engineer/Yuanbo_Pang_Resume.pdf,previously verified live link
208,ready,,Notability,"Engineer, Android",medium,Startup / small-to-mid company,Mobile,mobile,San Francisco,https://jobright.ai/jobs/info/6a1f39e6a507373dff6bf250?utm_campaign=Software%20Engineering&utm_source=1103,ng_applications/0208__Notability__Engineer_Android,ng_applications/0208__Notability__Engineer_Android/Yuanbo_Pang_Resume.pdf,previously verified live link
209,ready,,Nuro,"Software Engineer, Autonomy Visualization",medium,Startup / small-to-mid company,Backend / full-stack software,backend,"Mountain View, California (HQ)",https://jobright.ai/jobs/info/6a22840e597131741415f0a3?utm_campaign=Software%20Engineering&utm_source=1103,ng_applications/0209__Nuro__Software_Engineer_Autonomy_Visualization,ng_applications/0209__Nuro__Software_Engineer_Autonomy_Visualization/Yuanbo_Pang_Resume.pdf,previously verified live link
210,not_fit,,Nuro,Software Operations Specialist (12 month duration),medium,Startup / small-to-mid company,General software / IT,backend,"Mountain View, CA",https://jobright.ai/jobs/info/6a173416b091c7417c4fbc90?utm_campaign=Software%20Engineering&utm_source=1103,ng_applications/0210__Nuro__Software_Operations_Specialist_12_month_duration,ng_applications/0210__Nuro__Software_Operations_Specialist_12_month_duration/Yuanbo_Pang_Resume.pdf,"Not fit/rechecked 2026-06-07: Nuro Software Operations Specialist is 12-month operations/data-quality/tool-testing role, not SWE new-grad target."
211,not_fit,,Nuro,Software Operations Specialist (12 month duration),medium,Startup / small-to-mid company,General software / IT,backend,"Mountain View, California (HQ)",https://jobright.ai/jobs/info/6a1cb1916b135014dbc93426?utm_campaign=Software%20Engineering&utm_source=1103,ng_applications/0211__Nuro__Software_Operations_Specialist_12_month_duration,ng_applications/0211__Nuro__Software_Operations_Specialist_12_month_duration/Yuanbo_Pang_Resume.pdf,"Not fit/rechecked 2026-06-07: duplicate Nuro Software Operations Specialist is 12-month operations/data-quality/tool-testing role, not SWE new-grad target."
212,ready,,OPEN Healthcare,Junior Full-Stack Web Developer,medium,Startup / small-to-mid company,Backend / full-stack software,backend,"Gardena, CA",https://jobright.ai/jobs/info/6a22f4ba6624e500cad0af04?utm_campaign=Software%20Engineering&utm_source=1103,ng_applications/0212__OPEN_Healthcare__Junior_Full-Stack_Web_Developer,ng_applications/0212__OPEN_Healthcare__Junior_Full-Stack_Web_Developer/Yuanbo_Pang_Resume.pdf,previously verified live link
213,not_fit,,Owner,Staff Software Engineer - Backend - Grader,medium,Startup / venture-backed company,Backend / full-stack software,backend,Remote,https://jobs.ashbyhq.com/owner/03e2288e-b2dc-4430-ac02-af1731630c93,ng_applications/0213__Owner__Staff_Software_Engineer_-_Backend_-_Grader,ng_applications/0213__Owner__Staff_Software_Engineer_-_Backend_-_Grader/Yuanbo_Pang_Resume.pdf,"Role is Staff Software Engineer - Backend - Grader, not new-grad/junior target. Screened out before applying."
214,ready,,Penske Media Corporation,PMC: Full Stack Engineer,medium,Startup / small-to-mid company,Backend / full-stack software,backend,California - Los Angeles Office,https://jobright.ai/jobs/info/6a15a9310073182bd92ab4df?utm_campaign=Software%20Engineering&utm_source=1103,ng_applications/0214__Penske_Media_Corporation__PMC_Full_Stack_Engineer,ng_applications/0214__Penske_Media_Corporation__PMC_Full_Stack_Engineer/Yuanbo_Pang_Resume.pdf,previously verified live link
215,ready,,Phonely,Forward Deployed Engineer,medium,Startup / venture-backed company,Product / TPM / solutions,product,"San Francisco, CA",https://www.workatastartup.com/jobs/85445?utm_source=vansh,ng_applications/0215__Phonely__Forward_Deployed_Engineer,ng_applications/0215__Phonely__Forward_Deployed_Engineer/Yuanbo_Pang_Resume.pdf,previously verified live link
216,ready,,Pinterest Engineering,"Software Engineer I, Backend",medium,Startup / small-to-mid company,Backend / full-stack software,backend,"Bay Area, CA",https://jobright.ai/jobs/info/6a206d0cc00e701fe83693c3?utm_campaign=Software%20Engineering&utm_source=1103,ng_applications/0216__Pinterest_Engineering__Software_Engineer_I_Backend,ng_applications/0216__Pinterest_Engineering__Software_Engineer_I_Backend/Yuanbo_Pang_Resume.pdf,previously verified live link
217,ready,,Pinterest Engineering,"Software Engineer I, Backend",medium,Startup / small-to-mid company,Backend / full-stack software,backend,"Seattle, WA, US",https://jobright.ai/jobs/info/6a206d08c00e701fe83693be?utm_campaign=Software%20Engineering&utm_source=1103,ng_applications/0217__Pinterest_Engineering__Software_Engineer_I_Backend,ng_applications/0217__Pinterest_Engineering__Software_Engineer_I_Backend/Yuanbo_Pang_Resume.pdf,previously verified live link
218,ready,,Plaid,Software Engineer 🛂,medium,Startup / small-to-mid company,AI/ML / applied AI,ai_ml,"San Francisco, CA New York, NY",https://app.ripplematch.com/v2/public/job/2ddc776c?utm_source=vansh,ng_applications/0218__Plaid__Software_Engineer,ng_applications/0218__Plaid__Software_Engineer/Yuanbo_Pang_Resume.pdf,previously verified live link
219,ready,,Planbase,Founding Engineer,medium,Startup / venture-backed company,General software / IT,backend,"San Francisco, CA",https://www.workatastartup.com/jobs/88025?utm_source=vansh,ng_applications/0219__Planbase__Founding_Engineer,ng_applications/0219__Planbase__Founding_Engineer/Yuanbo_Pang_Resume.pdf,previously verified live link
220,ready,,Planbase,Founding Engineer (Full-Stack),medium,Startup / venture-backed company,Backend / full-stack software,backend,"San Francisco, CA, US",https://www.workatastartup.com/jobs/86588?utm_source=vansh,ng_applications/0220__Planbase__Founding_Engineer_Full-Stack,ng_applications/0220__Planbase__Founding_Engineer_Full-Stack/Yuanbo_Pang_Resume.pdf,previously verified live link
221,ready,,Planbase,Founding Engineer (Full-Stack),medium,Startup / venture-backed company,Backend / full-stack software,backend,"San Francisco, CA",https://www.workatastartup.com/jobs/84154?utm_source=vansh,ng_applications/0221__Planbase__Founding_Engineer_Full-Stack,ng_applications/0221__Planbase__Founding_Engineer_Full-Stack/Yuanbo_Pang_Resume.pdf,previously verified live link
222,ready,,Planbase,Founding Product Engineer,medium,Startup / venture-backed company,Backend / full-stack software,backend,"San Francisco, CA, US",https://www.workatastartup.com/jobs/87443?utm_source=vansh,ng_applications/0222__Planbase__Founding_Product_Engineer,ng_applications/0222__Planbase__Founding_Product_Engineer/Yuanbo_Pang_Resume.pdf,previously verified live link
223,ready,,Poka Labs,Founding Engineer,medium,Startup / venture-backed company,General software / IT,backend,"San Francisco, CA",https://www.workatastartup.com/jobs/77829?utm_source=vansh,ng_applications/0223__Poka_Labs__Founding_Engineer,ng_applications/0223__Poka_Labs__Founding_Engineer/Yuanbo_Pang_Resume.pdf,previously verified live link
224,ready,,Porter,Full Stack Engineer,medium,Startup / venture-backed company,Backend / full-stack software,backend,"New York, NY",https://www.ycombinator.com/companies/porter/jobs/6QhplSz-full-stack-engineer?utm_source=vansh,ng_applications/0224__Porter__Full_Stack_Engineer,ng_applications/0224__Porter__Full_Stack_Engineer/Yuanbo_Pang_Resume.pdf,previously verified live link
225,ready,,Proception Inc,Robotics Software Engineering - Real-Time Control & Embedded Systems,medium,Startup / venture-backed company,Infrastructure / platform / SRE / DevOps,infra,"Palo Alto, CA",https://www.workatastartup.com/jobs/76499?utm_source=vansh,ng_applications/0225__Proception_Inc__Robotics_Software_Engineering_-_Real-Time_Control_Embedded,ng_applications/0225__Proception_Inc__Robotics_Software_Engineering_-_Real-Time_Control_Embedded/Yuanbo_Pang_Resume.pdf,previously verified live link
226,ready,,Pylon,Software Engineer,medium,Startup / venture-backed company,Backend / full-stack software,backend,San Francisco,https://jobright.ai/jobs/info/67332237358ccd14a99ed8af?utm_campaign=Software%20Engineering&utm_source=1103,ng_applications/0226__Pylon__Software_Engineer,ng_applications/0226__Pylon__Software_Engineer/Yuanbo_Pang_Resume.pdf,previously verified live link
227,ready,,"Qualcomm Innovation Center, Inc.",Product Software Engineer,medium,Startup / small-to-mid company,Backend / full-stack software,backend,"San Diego, CA",https://careers.qualcomm.com/careers/job/446715361809?utm_source=vansh,ng_applications/0227__Qualcomm_Innovation_Center_Inc.__Product_Software_Engineer,ng_applications/0227__Qualcomm_Innovation_Center_Inc.__Product_Software_Engineer/Yuanbo_Pang_Resume.pdf,previously verified live link
228,ready,,"Qualcomm Technologies, Inc.",CPU Software Architecture Engineer,medium,Startup / small-to-mid company,General software / IT,backend,"San Diego, CA",https://careers.qualcomm.com/careers/job/446706753287?utm_source=vansh,ng_applications/0228__Qualcomm_Technologies_Inc.__CPU_Software_Architecture_Engineer,ng_applications/0228__Qualcomm_Technologies_Inc.__CPU_Software_Architecture_Engineer/Yuanbo_Pang_Resume.pdf,previously verified live link
229,ready,,"Qualcomm Technologies, Inc.",GPU Software Engineer,medium,Startup / small-to-mid company,Backend / full-stack software,backend,"San Diego, CA",https://careers.qualcomm.com/careers/job/446706913920?utm_source=vansh,ng_applications/0229__Qualcomm_Technologies_Inc.__GPU_Software_Engineer,ng_applications/0229__Qualcomm_Technologies_Inc.__GPU_Software_Engineer/Yuanbo_Pang_Resume.pdf,previously verified live link
230,ready,,Ramp,"Design Engineer, Design Systems",medium,Startup / venture-backed company,Infrastructure / platform / SRE / DevOps,infra,"New York, NY San Francisco, CA Remote",https://jobs.ashbyhq.com/ramp/6b9108d1-128d-4fd3-8465-fb514ea0e4c4?utm_source=vansh,ng_applications/0230__Ramp__Design_Engineer_Design_Systems,ng_applications/0230__Ramp__Design_Engineer_Design_Systems/Yuanbo_Pang_Resume.pdf,previously verified live link
231,not_fit,,Ranger,Forward-Deployed Test Engineer 🛂,medium,Startup / venture-backed company,QA / test / validation,qa,"San Francisco, CA",https://jobs.lever.co/ranger/38ef5184-0c8a-4980-836f-95e23e83ae7d?utm_source=Simplify&ref=Simplify&utm_source=vansh&ref=vansh,ng_applications/0231__Ranger__Forward-Deployed_Test_Engineer,ng_applications/0231__Ranger__Forward-Deployed_Test_Engineer/Yuanbo_Pang_Resume.pdf,Ranger Forward-Deployed Test Engineer role is marked sensitive/clearance-like in tracker and not aligned with current NG SWE target. Screened out before applying.
232,ready,,Redfin,Software Developer I - ACE,medium,Startup / venture-backed company,Backend / full-stack software,backend,"Seattle, WA",https://jobright.ai/jobs/info/6a07adcb6186f46859882028?utm_campaign=Software%20Engineering&utm_source=1103,ng_applications/0232__Redfin__Software_Developer_I_-_ACE,ng_applications/0232__Redfin__Software_Developer_I_-_ACE/Yuanbo_Pang_Resume.pdf,previously verified live link
233,ready,,Remitly,"Software Development Engineer 1, Pricing Platform",medium,Startup / venture-backed company,Infrastructure / platform / SRE / DevOps,infra,"Seattle, WA",https://remitly.wd5.myworkdayjobs.com/Remitly_Careers/job/Seattle-Washington-United-States/Software-Development-Engineer-1--Pricing-Platform_R_106145?utm_source=vansh,ng_applications/0233__Remitly__Software_Development_Engineer_1_Pricing_Platform,ng_applications/0233__Remitly__Software_Development_Engineer_1_Pricing_Platform/Yuanbo_Pang_Resume.pdf,previously verified live link
234,ready,,Robinhood,Software Engineer,medium,Startup / small-to-mid company,Backend / full-stack software,backend,"Menlo Park, CA",https://jobright.ai/jobs/info/6a1f0037dce5db1256d111ce?utm_campaign=Software%20Engineering&utm_source=1103,ng_applications/0234__Robinhood__Software_Engineer,ng_applications/0234__Robinhood__Software_Engineer/Yuanbo_Pang_Resume.pdf,previously verified live link
235,ready,,Runpod,Software Engineer (Full-Stack),medium,Startup / venture-backed company,Backend / full-stack software,backend,"Remote, USA",https://jobright.ai/jobs/info/6a1f54c109442629a68596cc?utm_campaign=Software%20Engineering&utm_source=1103,ng_applications/0235__Runpod__Software_Engineer_Full-Stack,ng_applications/0235__Runpod__Software_Engineer_Full-Stack/Yuanbo_Pang_Resume.pdf,previously verified live link
236,ready,,Scout AI,Firmware Engineer,medium,Startup / venture-backed company,AI/ML / applied AI,ai_ml,"Sunnyvale, CA",https://jobright.ai/jobs/info/69991e7c81476f6176b19da7?utm_campaign=Software%20Engineering&utm_source=1103,ng_applications/0236__Scout_AI__Firmware_Engineer,ng_applications/0236__Scout_AI__Firmware_Engineer/Yuanbo_Pang_Resume.pdf,previously verified live link
237,ready,,Scout AI,Junior Firmware Engineer,medium,Startup / venture-backed company,AI/ML / applied AI,ai_ml,"Sunnyvale, California, United States",https://jobright.ai/jobs/info/6a1f00268049156781165b38?utm_campaign=Software%20Engineering&utm_source=1103,ng_applications/0237__Scout_AI__Junior_Firmware_Engineer,ng_applications/0237__Scout_AI__Junior_Firmware_Engineer/Yuanbo_Pang_Resume.pdf,previously verified live link
238,not_fit,,Scout AI,Junior Firmware Engineer 🇺🇸,medium,Startup / venture-backed company,AI/ML / applied AI,ai_ml,"Sunnyvale, CA",https://job-boards.greenhouse.io/scoutai/jobs/4643333008?utm_source=Simplify&ref=Simplify,ng_applications/0238__Scout_AI__Junior_Firmware_Engineer,ng_applications/0238__Scout_AI__Junior_Firmware_Engineer/Yuanbo_Pang_Resume.pdf,Not fit/rechecked 2026-06-07: official Greenhouse posting has export-control eligibility question requiring protected individual/U.S. export-control access; F-1 OPT without green card is not a fit.
239,ready,,Scowtt,Fullstack Software Engineer,medium,Startup / small-to-mid company,Backend / full-stack software,backend,Seattle,https://jobright.ai/jobs/info/6a2115ad3a5f0145f4c18465?utm_campaign=Software%20Engineering&utm_source=1103,ng_applications/0239__Scowtt__Fullstack_Software_Engineer,ng_applications/0239__Scowtt__Fullstack_Software_Engineer/Yuanbo_Pang_Resume.pdf,previously verified live link
240,ready,,Sherwood Design Engineers,Computational Designer - Researcher,medium,Startup / small-to-mid company,Quant / trading / finance tech,quant,"New York City, NY",https://jobright.ai/jobs/info/6a1dd4803e538a28c204c3c3?utm_campaign=Software%20Engineering&utm_source=1103,ng_applications/0240__Sherwood_Design_Engineers__Computational_Designer_-_Researcher,ng_applications/0240__Sherwood_Design_Engineers__Computational_Designer_-_Researcher/Yuanbo_Pang_Resume.pdf,previously verified live link
241,ready,,Sixtyfour (X25),"Founding Engineer, AI Research Agents (Full-Stack) 🇺🇸",medium,Startup / venture-backed company,AI/ML / applied AI,ai_ml,"San Francisco, CA",https://www.workatastartup.com/jobs/80466?utm_source=vansh,ng_applications/0241__Sixtyfour_X25__Founding_Engineer_AI_Research_Agents_Full-Stack,ng_applications/0241__Sixtyfour_X25__Founding_Engineer_AI_Research_Agents_Full-Stack/Yuanbo_Pang_Resume.pdf,previously verified live link
242,ready,,Sonia,Founding AI Engineer,medium,Startup / venture-backed company,AI/ML / applied AI,ai_ml,"San Francisco, CA",https://www.workatastartup.com/jobs/81444?utm_source=vansh,ng_applications/0242__Sonia__Founding_AI_Engineer,ng_applications/0242__Sonia__Founding_AI_Engineer/Yuanbo_Pang_Resume.pdf,previously verified live link
243,ready,,Sonia,Founding Design Engineer 🇺🇸,medium,Startup / venture-backed company,General software / IT,backend,"San Francisco, CA",https://www.workatastartup.com/jobs/81060?utm_source=vansh,ng_applications/0243__Sonia__Founding_Design_Engineer,ng_applications/0243__Sonia__Founding_Design_Engineer/Yuanbo_Pang_Resume.pdf,previously verified live link
244,not_fit,,SpaceX,Embedded Software Engineer (Starlink),medium,Startup / small-to-mid company,Backend / full-stack software,backend,"Hawthorne, CA",https://jobright.ai/jobs/info/6a1c5c749111f771d1a149b9?utm_campaign=Software%20Engineering&utm_source=1103,ng_applications/0244__SpaceX__Embedded_Software_Engineer_Starlink,ng_applications/0244__SpaceX__Embedded_Software_Engineer_Starlink/Yuanbo_Pang_Resume.pdf,"SpaceX non-new-grad/specialized role from Jobright, outside current 2026 Winter NG small/startup application target and likely subject to SpaceX export/ITAR hiring constraints. Screened out before applying."
245,not_fit,,SpaceX,Facilities Infrastructure Engineer,medium,Startup / small-to-mid company,Infrastructure / platform / SRE / DevOps,infra,"Hawthorne, CA",https://jobright.ai/jobs/info/696fed060f4e0f657ea4346f?utm_campaign=Software%20Engineering&utm_source=1103,ng_applications/0245__SpaceX__Facilities_Infrastructure_Engineer,ng_applications/0245__SpaceX__Facilities_Infrastructure_Engineer/Yuanbo_Pang_Resume.pdf,"SpaceX non-new-grad/specialized role from Jobright, outside current 2026 Winter NG small/startup application target and likely subject to SpaceX export/ITAR hiring constraints. Screened out before applying."
246,not_fit,,SpaceX,Full Stack Software Engineer (Application Software),medium,Startup / small-to-mid company,Backend / full-stack software,backend,"Hawthorne, CA",https://jobright.ai/jobs/info/6a17a3b881fe455c705aa7eb?utm_campaign=Software%20Engineering&utm_source=1103,ng_applications/0246__SpaceX__Full_Stack_Software_Engineer_Application_Software,ng_applications/0246__SpaceX__Full_Stack_Software_Engineer_Application_Software/Yuanbo_Pang_Resume.pdf,"SpaceX non-new-grad/specialized role from Jobright, outside current 2026 Winter NG small/startup application target and likely subject to SpaceX export/ITAR hiring constraints. Screened out before applying."
247,not_fit,,SpaceX,Simulation Software Engineer (Application Software),medium,Startup / small-to-mid company,Backend / full-stack software,backend,"Hawthorne, CA",https://jobright.ai/jobs/info/69cc896ee1921223acc79132?utm_campaign=Software%20Engineering&utm_source=1103,ng_applications/0247__SpaceX__Simulation_Software_Engineer_Application_Software,ng_applications/0247__SpaceX__Simulation_Software_Engineer_Application_Software/Yuanbo_Pang_Resume.pdf,"SpaceX non-new-grad/specialized role from Jobright, outside current 2026 Winter NG small/startup application target and likely subject to SpaceX export/ITAR hiring constraints. Screened out before applying."
